CHANNELBANDWIDTH_MHz,Tx_ANTENNA_COUNT,RX_ANTENNA_COUNT,INTER_ARRIVAL_TIME(micro sec),Data Packets transmitted,THROUGHPUT(Mbps),
20,2,2,5000.0,5990,2.327824e+00,
20,2,4,5000.0,5990,2.327824e+00,
20,2,6,5000.0,5990,2.327824e+00,
20,2,8,5000.0,5990,2.327824e+00,
20,4,2,2500.0,11982,4.659152e+00,
20,4,4,2500.0,11982,4.659152e+00,
20,4,6,2500.0,11982,4.659152e+00,
20,4,8,2500.0,11982,4.659152e+00,
20,6,2,1666.6666666666667,17973,6.988144e+00,
20,6,4,1666.6666666666667,17973,6.988144e+00,
20,6,6,1666.6666666666667,17973,6.988144e+00,
20,6,8,1666.6666666666667,17973,6.988144e+00,
20,8,2,1250.0,23959,9.314800e+00,
20,8,4,1250.0,23959,9.314800e+00,
20,8,6,1250.0,23959,9.314800e+00,
20,8,8,1250.0,23959,9.314800e+00,
40,2,2,2500.0,11982,4.659152e+00,
40,2,4,2500.0,11982,4.659152e+00,
40,2,6,2500.0,11982,4.659152e+00,
40,2,8,2500.0,11982,4.659152e+00,
40,4,2,1250.0,23959,9.314800e+00,
40,4,4,1250.0,23959,9.314800e+00,
40,4,6,1250.0,23959,9.314800e+00,
40,4,8,1250.0,23959,9.314800e+00,
40,6,2,833.3333333333334,35943,1.397395e+01,
40,6,4,833.3333333333334,35943,1.397395e+01,
40,6,6,833.3333333333334,35943,1.397395e+01,
40,6,8,833.3333333333334,35943,1.397395e+01,
40,8,2,625.0,47929,1.863544e+01,
40,8,4,625.0,47929,1.863544e+01,
40,8,6,625.0,47929,1.863544e+01,
40,8,8,625.0,47929,1.863544e+01,
